,Race Distance,Race Location,Race Number,Race Result,Race State,Race result status
0,          1250m        ,          Morphettville Parks        ,R2,  4 . 2 . 10,(SA),          Interim        
1,          1300m        ,          Goulburn        ,R3,  2 . 1 . 5,(NSW),          Interim        
2,          1200m        ,          Ipswich        ,R3,  5 . 4 . 1,(QLD),          Interim        
3,          1100m        ,          Lismore        ,R2,  9 . 13 . 3,(NSW),          Final        
4,          1000m        ,          Morphettville Parks        ,R1,  12 . 9 . 4,(SA),          Final        
5,          1400m        ,          Goulburn        ,R2,  4 . 3 . 8,(NSW),          Final        
6,          1350m        ,          Ipswich        ,R2,  3 . 1 . 2,(QLD),          Final        
7,          1516m        ,          Lismore        ,R1,  9 . 11 . 7,(NSW),          Final        
8,          1600m        ,          Goulburn        ,R1,  2 . 5 . 8,(NSW),          Final        
9,          2160m        ,          Ipswich        ,R1,  5 . 6 . 7,(QLD),          Final        
10,          2738m        ,          Newcastle        ,R6,  5 . 2 . 4,(GB),          Interim        
11,          1873m        ,          Epsom Downs        ,R6,  5 . 2 . 10,(GB),          Interim        
12,          2242m        ,          Newcastle        ,R5,  10 . 9 . 4,(GB),          Interim        
13,          4019m        ,          Galway        ,R8,  11 . 17 . 6,(IE),          Interim        
14,          1543m        ,          Epsom Downs        ,R5,  1 . 7 . 5,(GB),          Interim        
15,          1765m        ,          Newcastle        ,R4,  4 . 1 . 10,(GB),          Interim        
16,          5280m        ,          Galway        ,R7,  1 . 3 . 12,(IE),          Interim        
17,          1543m        ,          Epsom Downs        ,R4,  5 . 3 . 1,(GB),          Interim        
18,          1554m        ,          Newcastle        ,R3,  12 . 7 . 4,(GB),          Interim        
19,          4556m        ,          Galway        ,R6,  6 . 3 . 7,(IE),          Interim        
20,          1543m        ,          Epsom Downs        ,R3,  2 . 5 . 6,(GB),          Interim        
21,          1320m        ,          Newcastle        ,R2,  8 . 5 . 2,(GB),          Interim        
22,          3531m        ,          Galway        ,R5,  13 . 20 . 5,(IE),          Interim        
23,          2646m        ,          Epsom Downs        ,R2,  6 . 1 . 9,(GB),          Interim        
24,          1100m        ,          Newcastle        ,R1,  6 . 3 . 8,(GB),          Interim        
25,          3531m        ,          Galway        ,R4,  1 . 4 . 11,(IE),          Interim        
26,          2217m        ,          Epsom Downs        ,R1,  6 . 7 . 9,(GB),          Interim        
27,          4014m        ,          Galway        ,R3,  4 . 5 . 1,(IE),          Interim        
28,          1100m        ,          Goodwood        ,R7,  5 . 13 . 12,(GB),          Interim        
29,          4951m        ,          Galway        ,R2,  12 . 15 . 2,(IE),          Interim        
30,          4108m        ,          Stratford        ,R8,  3 . 1 . 5,(NZ),          Interim        
31,          3520m        ,          Nottingham        ,R7,  3 . 12 . 2,(GB),          Interim        
32,          1540m        ,          Goodwood        ,R6,  18 . 3 . 14,(GB),          Interim        
33,          3531m        ,          Galway        ,R1,  1 . 10 . 7,(IE),          Interim        
